thinkBack: Stock quote and option quote for SPX on 7/23/16 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
UNDERLYING,,,,,,,,,,,,,,,,,,,,,,,,,
Last,Net Chng,Volume,Open,High,Low,,,,,,,,,,,,,,,,,,,,
2175.03,9.86,0,2166.47,2175.11,2163.24,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
22 JUL 16  (-1)  100 (Weeklys),,,,,,,,,,,,,,,,,,,,,,,,,
,,Impl Vol,Prob.OTM,Delta,Gamma,Theta,Vega,Volume,Open.Int,Bid,Ask,Exp,Strike,Bid,Ask,Impl Vol,Prob.OTM,Delta,Gamma,Theta,Vega,Volume,Open.Int,,
,,--,0.00%,1.00,0.00,-0.01,0.00,0,0,1667.70,1679.90,22 JUL 16,500,0,0.10,842.86%,99.91%,0.00,0.00,-0.05,0.00,0,0,,
,,--,0.00%,1.00,0.00,-0.02,0.00,0,0,1567.70,1579.90,22 JUL 16,600,0,0.10,740.17%,99.91%,0.00,0.00,-0.05,0.00,0,0,,
,,--,0.00%,1.00,0.00,-0.02,0.00,0,0,1467.70,1479.90,22 JUL 16,700,0,0.10,653.81%,99.92%,0.00,0.00,-0.05,0.00,0,0,,
,,--,0.00%,1.00,0.00,-0.02,0.00,0,0,1367.70,1379.90,22 JUL 16,800,0,0.05,551.60%,99.96%,0.00,0.00,-0.03,0.00,0,100,,
,,--,0.00%,1.00,0.00,-0.02,0.00,0,0,1267.70,1279.90,22 JUL 16,900,0,0.05,489.13%,99.95%,0.00,0.00,-0.03,0.00,0,"1,637",,
,,--,0.00%,1.00,0.00,-0.03,0.00,0,0,1167.70,1179.90,22 JUL 16,1000,0,0.05,432.82%,99.95%,0.00,0.00,-0.03,0.00,0,"2,498",,
,,--,0.00%,1.00,0.00,-0.03,0.00,0,1,1067.70,1079.90,22 JUL 16,1100,0,0.05,381.62%,99.95%,0.00,0.00,-0.03,0.00,0,"6,428",,
,,--,0.00%,1.00,0.00,-0.03,0.00,0,19,967.70,979.90,22 JUL 16,1200,0,0.05,335.15%,99.95%,0.00,0.00,-0.03,0.00,0,"1,030",,
,,--,0.00%,1.00,0.00,-0.03,0.00,0,0,942.70,954.90,22 JUL 16,1225,0,0.05,324.09%,99.95%,0.00,0.00,-0.03,0.00,0,"2,798",,
,,--,0.00%,1.00,0.00,-0.03,0.00,0,0,917.70,929.90,22 JUL 16,1250,0,0.05,313.20%,99.95%,0.00,0.00,-0.03,0.00,0,"1,660",,
,,--,0.00%,1.00,0.00,-0.03,0.00,0,0,892.70,904.90,22 JUL 16,1275,0,0.05,302.50%,99.95%,0.00,0.00,-0.03,0.00,0,"6,368",,
,,--,0.00%,1.00,0.00,-0.04,0.00,0,10,867.70,879.90,22 JUL 16,1300,0,0.05,292.17%,99.95%,0.00,0.00,-0.03,0.00,0,"1,091",,
,,--,0.00%,1.00,0.00,-0.04,0.00,0,10,842.70,854.90,22 JUL 16,1325,0,0.05,281.88%,99.95%,0.00,0.00,-0.03,0.00,0,743,,
,,--,0.00%,1.00,0.00,-0.04,0.00,0,0,817.70,829.90,22 JUL 16,1350,0,0.05,271.81%,99.95%,0.00,0.00,-0.03,0.00,0,"8,711",,
,,--,0.00%,1.00,0.00,-0.04,0.00,0,0,792.70,804.90,22 JUL 16,1375,0,0.05,261.88%,99.95%,0.00,0.00,-0.03,0.00,0,"7,662",,
,,--,0.00%,1.00,0.00,-0.04,0.00,0,2,767.70,779.90,22 JUL 16,1400,0,0.05,252.15%,99.95%,0.00,0.00,-0.03,0.00,0,"4,808",,
,,--,0.00%,1.00,0.00,-0.04,0.00,0,0,742.70,754.90,22 JUL 16,1425,0,0.05,242.64%,99.95%,0.00,0.00,-0.03,0.00,0,"1,963",,
,,--,0.00%,1.00,0.00,-0.04,0.00,0,29,717.70,729.90,22 JUL 16,1450,0,0.05,233.37%,99.94%,0.00,0.00,-0.03,0.00,0,"3,219",,
,,--,0.00%,1.00,0.00,-0.04,0.00,0,1,692.80,704.90,22 JUL 16,1475,0,0.05,224.16%,99.94%,0.00,0.00,-0.03,0.00,0,"2,180",,
,,--,0.00%,1.00,0.00,-0.04,0.00,0,23,667.80,679.90,22 JUL 16,1500,0,0.05,214.97%,99.94%,0.00,0.00,-0.03,0.00,0,"6,923",,
,,--,0.00%,1.00,0.00,-0.04,0.00,0,1,642.80,654.90,22 JUL 16,1525,0,0.05,205.75%,99.94%,0.00,0.00,-0.03,0.00,0,"1,685",,
